"","Google-Uncertainty FR-Raw","Google-Uncertainty FR-Cleaned","Reuters-Uncertainty FR-Raw","Reuters-Uncertainty FR-Cleaned"
"2007-02-01",25.75,25.9658097885382,0.030601441,0.0336189827347725
"2007-03-01",25,20.1091024980566,0.020978499,0.013771331183991
"2007-04-01",22.75,21.3023981806137,0.029954591,0.0345765000908415
"2007-05-01",27,24.1113797184217,0.022604228,0.0365166594141
"2007-06-01",26,29.6703728015127,0.018617492,0.0294008477277861
"2007-07-01",20.25,30.2194374721617,0.016524053,0.0203556383689547
"2007-08-01",18.5,29.8685047491647,0.011572732,0.0140916188332628
"2007-09-01",30.75,25.577689300345,0.035099209,0.0322583967434265
"2007-10-01",58.25,50.1118704919842,0.033705569,0.0346689873390088
"2007-11-01",33,28.8585061507615,0.036741834,0.0286244251389065
"2007-12-01",24.25,29.24324994795,0.034890278,0.0178468181681146
"2008-01-01",54.25,50.711679906361,0.05759776,0.05315747945199
"2008-02-01",24.5,24.7158097885382,0.046397769,0.0494153107347725
"2008-03-01",51.5,46.6091024980566,0.047420635,0.040213467183991
"2008-04-01",50.5,49.0523981806137,0.039769318,0.0443912270908415
"2008-05-01",29.75,26.8613797184217,0.039201241,0.0531136724141
"2008-06-01",44.25,47.9203728015127,0.036577491,0.0473608467277861
"2008-07-01",19.75,29.7194374721617,0.033805746,0.0376373313689547
"2008-08-01",21.5,32.8685047491647,0.04175483,0.0442737168332628
"2008-09-01",57.25,52.077689300345,0.021882916,0.0190421037434265
"2008-10-01",55.25,47.1118704919842,0.068953599,0.0699170173390088
"2008-11-01",29.75,25.6085061507615,0.069572481,0.0614550721389065
"2008-12-01",24.75,29.74324994795,0.054263922,0.0372204621681146
"2009-01-01",32,28.461679906361,0.050581552,0.04614127145199
"2009-02-01",49.5,49.7158097885382,0.042455721,0.0454732627347725
"2009-03-01",33,28.1091024980566,0.058266082,0.051058914183991
"2009-04-01",39.75,38.3023981806137,0.040449364,0.0450712730908415
"2009-05-01",50.75,47.8613797184217,0.028927899,0.0428403304141
"2009-06-01",27,30.6703728015127,0.040666995,0.0514503507277861
"2009-07-01",43.5,53.4694374721617,0.053254791,0.0570863763689547
"2009-08-01",22.5,33.8685047491647,0.037042792,0.0395616788332628
"2009-09-01",34.25,29.077689300345,0.035988896,0.0331480837434265
"2009-10-01",47.5,39.3618704919842,0.027025009,0.0279884273390088
"2009-11-01",56.75,52.6085061507615,0.022865729,0.0147483201389065
"2009-12-01",31.25,36.24324994795,0.063199191,0.0461557311681146
"2010-01-01",35.5,31.961679906361,0.036909282,0.03246900145199
"2010-02-01",31,31.2158097885382,0.035545906,0.0385634477347725
"2010-03-01",33,28.1091024980566,0.049977712,0.042770544183991
"2010-04-01",29,27.5523981806137,0.059475016,0.0640969250908415
"2010-05-01",45.25,42.3613797184217,0.065117802,0.0790302334141
"2010-06-01",32.5,36.1703728015127,0.076475759,0.0872591147277861
"2010-07-01",26.25,36.2194374721617,0.057299143,0.0611307283689547
"2010-08-01",22.25,33.6185047491647,0.052734569,0.0552534558332628
"2010-09-01",33.5,28.327689300345,0.063903882,0.0610630697434265
"2010-10-01",33.5,25.3618704919842,0.063182968,0.0641463863390088
"2010-11-01",32.75,28.6085061507615,0.039979104,0.0318616951389065
"2010-12-01",29,33.99324994795,0.06932646,0.0522830001681146
"2011-01-01",35,31.461679906361,0.056037812,0.05159753145199
"2011-02-01",32.25,32.4658097885382,0.04993776,0.0529553017347725
"2011-03-01",71,66.1091024980566,0.061384367,0.054177199183991
"2011-04-01",34.25,32.8023981806137,0.086602029,0.0912239380908415
"2011-05-01",48,45.1113797184217,0.043081566,0.0569939974141
"2011-06-01",29.25,32.9203728015127,0.051665691,0.0624490467277861
"2011-07-01",25.25,35.2194374721617,0.074509472,0.0783410573689547
"2011-08-01",38.25,49.6185047491647,0.079380472,0.0818993588332628
"2011-09-01",37.25,32.077689300345,0.122353477,0.119512664743426
