"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Donald Tusk Press Conference UK Notification - Brexit Reaction Statement By FXstreetNews https://t.co/W2Xs1FdOiT #GBPUSD via FXstreetNews",FALSE,0,NA,2017-03-29 13:36:33,FALSE,NA,"847080037971058688",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","TradingintheZen",0,FALSE,FALSE,NA,NA
"2","Forex
°°..

 https://t.co/YX4TSY3Vo4

#EURUSD  -  #USDJPY 

#GBPUSD  https://t.co/PEWhFrshWa https://t.co/4qKtLKqhMC",FALSE,0,NA,2017-03-29 13:36:01,FALSE,NA,"847079904109772803",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Loupo85",0,FALSE,FALSE,NA,NA
"3","Forex
°°..

 https://t.co/qDtRQ0nzW8

#EURUSD  -  #USDJPY 

#GBPUSD  https://t.co/uqViiiqfun https://t.co/wwyGTzxN4H",FALSE,0,NA,2017-03-29 13:36:00,FALSE,NA,"847079900011884545",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FranceMob",0,FALSE,FALSE,NA,NA
"4","RT @vpatel212: Article 50 will be triggered today...trick for investors will be to look through political noise as #GBPUSD makes its way to…",FALSE,0,NA,2017-03-29 13:33:53,FALSE,NA,"847079366056202240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cocuzzo_c",4,TRUE,FALSE,NA,NA
"5","Donald Tusk Press Conference UK Notification - Brexit Reaction Statement By FXstreetNews https://t.co/xLfsSYBcC8 #GBPUSD",FALSE,0,NA,2017-03-29 13:30:17,FALSE,NA,"847078459297927168",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","FX14AU",0,FALSE,FALSE,NA,NA
"6","RT @GouldSam: £ Pound <ed><U+00A0><U+00BD><ed><U+00B2><U+00B7> rallies as #Article50 is invoked #GBPUSD #Brexit <ed><U+00A0><U+00BC><ed><U+00B7><U+00AC><ed><U+00A0><U+00BC><ed><U+00B7><U+00A7> https://t.co/WCMYwoa1JN",FALSE,0,NA,2017-03-29 13:30:09,FALSE,NA,"847078425793847296",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","idlavi",9,TRUE,FALSE,NA,NA
