id,day,month,year,date,fullprice,category
1,8,8,2009,2009-08-08,2,33
1,9,8,2009,2009-08-09,2,33
1,10,8,2009,2009-08-10,2,33
1,11,8,2009,2009-08-11,2,33
1,12,8,2009,2009-08-12,2,33
1,13,8,2009,2009-08-13,2,33
1,14,8,2009,2009-08-14,2,33
1,15,8,2009,2009-08-15,2,33
1,16,8,2009,2009-08-16,2,33
1,17,8,2009,2009-08-17,2,33
1,18,8,2009,2009-08-18,2,33
1,19,8,2009,2009-08-19,2,33
1,20,8,2009,2009-08-20,2,33
1,21,8,2009,2009-08-21,2,33
1,22,8,2009,2009-08-22,2,33
1,23,8,2009,2009-08-23,2,33
1,24,8,2009,2009-08-24,2,33
1,25,8,2009,2009-08-25,2,33
1,26,8,2009,2009-08-26,2,33
1,27,8,2009,2009-08-27,2,33
1,28,8,2009,2009-08-28,2,33
1,29,8,2009,2009-08-29,2,33
1,30,8,2009,2009-08-30,2,33
1,31,8,2009,2009-08-31,2,33
1,1,9,2009,2009-09-01,2,33
1,2,9,2009,2009-09-02,2,33
1,3,9,2009,2009-09-03,2,33
1,4,9,2009,2009-09-04,2,33
1,5,9,2009,2009-09-05,2,33
1,6,9,2009,2009-09-06,2,33
1,7,9,2009,2009-09-07,2,33
1,8,9,2009,2009-09-08,2,33
1,9,9,2009,2009-09-09,2,33
1,10,9,2009,2009-09-10,2,33
1,11,9,2009,2009-09-11,2,33
1,12,9,2009,2009-09-12,2,33
1,13,9,2009,2009-09-13,2,33
1,14,9,2009,2009-09-14,2,33
1,15,9,2009,2009-09-15,2,33
1,16,9,2009,2009-09-16,2,33
1,17,9,2009,2009-09-17,2,33
1,18,9,2009,2009-09-18,2,33
1,19,9,2009,2009-09-19,2,33
1,20,9,2009,2009-09-20,2,33
1,21,9,2009,2009-09-21,2,33
1,22,9,2009,2009-09-22,2,33
1,23,9,2009,2009-09-23,2,33
1,24,9,2009,2009-09-24,2,33
1,25,9,2009,2009-09-25,2,33
1,26,9,2009,2009-09-26,2,33
1,27,9,2009,2009-09-27,2,33
1,28,9,2009,2009-09-28,2,33
1,29,9,2009,2009-09-29,2,33
1,30,9,2009,2009-09-30,2,33
1,1,10,2009,2009-10-01,2,33
1,2,10,2009,2009-10-02,2,33
1,3,10,2009,2009-10-03,2,33
1,4,10,2009,2009-10-04,2,33
1,5,10,2009,2009-10-05,2,33
1,6,10,2009,2009-10-06,2,33
1,7,10,2009,2009-10-07,2,33
1,8,10,2009,2009-10-08,2,33
1,9,10,2009,2009-10-09,2,33
1,10,10,2009,2009-10-10,2,33
1,11,10,2009,2009-10-11,2,33
1,12,10,2009,2009-10-12,2,33
1,13,10,2009,2009-10-13,2,33
1,14,10,2009,2009-10-14,2,33
1,15,10,2009,2009-10-15,2,33
1,16,10,2009,2009-10-16,2,33
1,17,10,2009,2009-10-17,2,33
1,18,10,2009,2009-10-18,2,33
1,19,10,2009,2009-10-19,2,33
1,20,10,2009,2009-10-20,2,33
1,21,10,2009,2009-10-21,2,33
1,22,10,2009,2009-10-22,2,33
1,23,10,2009,2009-10-23,2,33
1,24,10,2009,2009-10-24,2,33
1,25,10,2009,2009-10-25,2,33
1,26,10,2009,2009-10-26,2,33
1,27,10,2009,2009-10-27,2,33
1,28,10,2009,2009-10-28,2,33
1,29,10,2009,2009-10-29,2,33
1,30,10,2009,2009-10-30,2,33
1,31,10,2009,2009-10-31,2,33
1,1,11,2009,2009-11-01,2,33
1,2,11,2009,2009-11-02,2,33
1,3,11,2009,2009-11-03,2,33
1,4,11,2009,2009-11-04,2,33
1,5,11,2009,2009-11-05,2,33
1,6,11,2009,2009-11-06,2,33
1,7,11,2009,2009-11-07,2,33
1,8,11,2009,2009-11-08,2,33
1,9,11,2009,2009-11-09,2,33
1,10,11,2009,2009-11-10,2,33
1,11,11,2009,2009-11-11,2,33
1,12,11,2009,2009-11-12,2,33
1,13,11,2009,2009-11-13,2,33
1,14,11,2009,2009-11-14,2,33
1,15,11,2009,2009-11-15,2,33
1,16,11,2009,2009-11-16,2,33
1,17,11,2009,2009-11-17,2,33
1,18,11,2009,2009-11-18,2,33
1,19,11,2009,2009-11-19,2,33
1,20,11,2009,2009-11-20,2,33
1,21,11,2009,2009-11-21,2,33
1,22,11,2009,2009-11-22,2,33
1,23,11,2009,2009-11-23,2,33
1,24,11,2009,2009-11-24,2,33
1,25,11,2009,2009-11-25,2,33
1,26,11,2009,2009-11-26,2,33
1,27,11,2009,2009-11-27,2,33
1,28,11,2009,2009-11-28,2,33
1,29,11,2009,2009-11-29,2,33
1,30,11,2009,2009-11-30,2,33
1,1,12,2009,2009-12-01,2,33
