,target-ei_isin_m-DE,target-ei_lmhr_m-DE,target-namq_10_a10_e-DE,target-prc_hicp_midx-DE,target-namq_10_gdp-DE
2014-05-31,107.2,5,NA,99.6,NA
2014-06-30,107.5,5,NA,99.9,NA
2014-07-31,109.1,5,42861,100.2,107
2014-08-31,105.5,5,NA,100.2,NA
2014-09-30,107.9,5,NA,100.2,NA
2014-10-31,108.2,5,42965,99.9,107.9
2014-11-30,108.2,4.9,NA,99.9,NA
2014-12-31,109.9,4.9,NA,99.9,NA
2015-01-31,108.2,4.8,42517,98.7,108
2015-02-28,108.2,4.8,NA,99.7,NA
2015-03-31,108.6,4.7,NA,100.2,NA
2015-04-30,108.9,4.7,42998,100.1,108.5
2015-05-31,109.1,4.7,NA,100.2,NA
2015-06-30,109,4.6,NA,100.1,NA
2015-07-31,110,4.6,43286,100.3,108.9
2015-08-31,108.2,4.5,NA,100.3,NA
2015-09-30,108.2,4.5,NA,100.1,NA
2015-10-31,108.4,4.5,43476,100.1,109.3
2015-11-30,108,4.5,NA,100.1,NA
2015-12-31,108.8,4.4,NA,100.1,NA
2016-01-31,110.6,4.4,43096,99.1,110
2016-02-29,110.1,4.3,NA,99.5,NA
2016-03-31,109.6,4.3,NA,100.3,NA
2016-04-30,109.9,4.3,43557,99.8,110.5
2016-05-31,108.8,4.2,NA,100.2,NA
2016-06-30,110.2,4.2,NA,100.3,NA
2016-07-31,108.6,4.2,43832,100.7,110.9
2016-08-31,110.9,4.1,NA,100.6,NA
2016-09-30,110.2,4.1,NA,100.6,NA
2016-10-31,110.2,4,44066,100.8,111.4
